area_id,event_id,area_name,map_type,sheet_id,que_id,start_time,end_time,area_disp,map_id,scroll_width,scroll_height,open_tutorial_id,tutorial_param_1,tutorial_param_2,additional_effect
10001101,10001,"塔古姆地区",201,"bgm_M32","bgm_M32","2018/03/31 15:00:00","2018/04/19 14:59:59",1,0,0,0,0,"0","0",0
10001201,10001,"塔古姆地区",201,"bgm_M32","bgm_M32","2018/03/31 15:00:00","2018/04/19 14:59:59",1,0,0,0,0,"0","0",0
10002101,10002,"马希纳地区",201,"bgm_M98","bgm_M98_2","2018/04/30 12:00:00","2018/05/21 14:59:59",1,0,0,0,0,"0","0",0
10002201,10002,"马希纳地区",201,"bgm_M98","bgm_M98_2","2018/04/30 12:00:00","2018/05/21 14:59:59",1,0,0,0,0,"0","0",0
10003101,10003,"兰德索尔郊外",201,"bgm_M106","bgm_M106","2018/05/31 12:00:00","2018/06/19 14:59:59",1,0,0,0,0,"0","0",0
10003201,10003,"兰德索尔郊外",201,"bgm_M106","bgm_M106","2018/05/31 12:00:00","2018/06/19 14:59:59",1,0,0,0,0,"0","0",0
10004101,10004,"塔帕斯海滩周边",201,"bgm_M112","bgm_M112","2018/06/30 12:00:00","2018/07/19 14:59:59",1,0,0,0,0,"0","0",0
10004201,10004,"塔帕斯海滩周边",201,"bgm_M112","bgm_M112","2018/06/30 12:00:00","2018/07/19 14:59:59",1,0,0,0,0,"0","0",0
10005101,10005,"伊尔西翁的孤岛",201,"bgm_M121","bgm_M121","2018/07/31 12:00:00","2018/08/19 14:59:59",1,0,0,0,0,"0","0",0
10005201,10005,"伊尔西翁的孤岛",201,"bgm_M121","bgm_M121","2018/07/31 12:00:00","2018/08/19 14:59:59",1,0,0,0,0,"0","0",0
10006101,10006,"王都兰德索尔",201,"bgm_M128","bgm_M128","2018/08/31 12:00:00","2018/09/18 14:59:59",1,0,0,0,0,"0","0",0
10006201,10006,"王都兰德索尔",201,"bgm_M128","bgm_M128","2018/08/31 12:00:00","2018/09/18 14:59:59",1,0,0,0,0,"0","0",0
10007101,10007,"兰德索尔郊外",201,"bgm_M135","bgm_M135","2018/09/30 12:00:00","2018/10/18 14:59:59",1,1,0,0,0,"0","0",0
10007102,10007,"灵界",201,"bgm_M29","bgm_M29","2018/09/30 12:00:00","2018/10/18 14:59:59",1,2,0,80,1,"202","208",0
10007103,10007,"兰德索尔中心部",201,"bgm_M135","bgm_M135","2018/09/30 12:00:00","2018/10/18 14:59:59",1,3,0,0,1,"202","209",1
10007201,10007,"兰德索尔郊外",201,"bgm_M135","bgm_M135","2018/09/30 12:00:00","2018/10/18 14:59:59",1,1,0,0,0,"0","0",1
10008101,10008,"兰德索尔近郊",201,"bgm_M162","bgm_M162","2018/10/31 12:00:00","2018/11/14 14:59:59",1,0,35,0,0,"0","0",0
10008201,10008,"兰德索尔近郊",201,"bgm_M162","bgm_M162","2018/10/31 12:00:00","2018/11/14 14:59:59",1,0,0,0,0,"0","0",0
10009101,10009,"咲恋救济院",201,"bgm_M171","bgm_M171","2018/11/30 12:00:00","2018/12/14 14:59:59",1,1,110,0,0,"0","0",11
10009201,10009,"王都兰德索尔",201,"bgm_M171","bgm_M171","2018/11/30 12:00:00","2018/12/14 14:59:59",1,1,0,0,0,"0","0",0
10010101,10010,"前往神殿的神道",201,"bgm_M182","bgm_M182","2018/12/31 12:00:00","2019/01/14 14:59:59",1,1,1,180,0,"0","0",0
10010201,10010,"前往神殿的神道",201,"bgm_M182","bgm_M182","2018/12/31 12:00:00","2019/01/14 14:59:59",1,1,0,0,0,"0","0",0
10011101,10011,"王都兰德索尔",201,"bgm_M189","bgm_M189","2019/01/31 12:00:00","2019/02/14 14:59:59",1,1,0,0,0,"0","0",0
10011102,10011,"厨房竞技场",201,"bgm_M189","bgm_M189","2019/01/31 12:00:00","2019/02/14 14:59:59",1,2,110,0,0,"0","0",0
10011201,10011,"厨房竞技场",201,"bgm_M189","bgm_M189","2019/01/31 12:00:00","2019/02/14 14:59:59",1,1,0,0,0,"0","0",0
10012101,10012,"王都兰德索尔",201,"bgm_M206","bgm_M206","2019/02/28 12:00:00","2019/03/14 14:59:59",1,1,115,0,0,"0","0",0
10012201,10012,"王都兰德索尔",201,"bgm_M206","bgm_M206","2019/02/28 12:00:00","2019/03/14 14:59:59",1,1,0,0,0,"0","0",0
10013101,10013,"加斯特罗斯山",201,"bgm_M215","bgm_M215","2019/03/31 12:00:00","2019/04/12 20:59:59",1,1,110,0,0,"0","0",0
10013102,10013,"光之裂缝",201,"bgm_M215","bgm_M215","2019/03/31 12:00:00","2019/04/12 20:59:59",1,2,0,0,1,"202","208",11
